Biosample name	Original biosample indices	Altius Biosample IDs
fKidney_renal_cortex_L	[298, 380, 396, 412]	['DS17550', 'DS18542', 'DS18931', 'DS19257']
fKidney_renal_pelvis_L	[299, 386, 399, 410]	['DS17553', 'DS18666', 'DS18964', 'DS19238']
hTH2	[301, 707]	['DS17597', 'DS7842']
iTH2	[302]	['DS17603']
fPlacenta	[303, 313, 423, 507, 508, 509, 682, 697, 718, 731, 732]	['DS17639', 'DS17744', 'DS19391', 'DS20346', 'DS21111', 'DS20793', 'DS37102S', 'DS38790A', 'DS39148B', 'DS37386C', 'DS37716C']
fMuscle_upper_limb_sk	[307]	['DS17661']
fMuscle_back	[319, 330, 346, 358, 369, 373, 393, 406, 420, 427, 434, 457, 482, 530]	['DS17767', 'DS17850', 'DS18083', 'DS18377', 'DS18454', 'DS18468', 'DS18842', 'DS19117', 'DS19384', 'DS19441', 'DS19648', 'DS20244', 'DS20789', 'DS21048']
fMuscle_trunk	[324, 456, 472]	['DS17827', 'DS20242', 'DS20544']
iTH1	[341]	['DS18018']
MCF7_ER	[343, 357]	['DS18025', 'DS18271']
fMuscle_lower_limb	[349]	['DS18174']
Skin_Fibroblasts	[352, 353, 354, 355]	['DS18224', 'DS18229', 'DS18252', 'DS18256']
vHMEC	[367, 489]	['DS18438', 'DS18406']
fSpinal_cord	[379, 463, 470, 487, 506, 600, 647]	['DS18501', 'DS20351', 'DS20530', 'DS20956', 'DS19260', 'DS24833A', 'DS24886A']
Skin_Melanocytes	[382, 387, 493, 494]	['DS18601', 'DS18668', 'DS19662', 'DS18590']
GM04503D	[383, 384]	['DS18637', 'DS18640']
Skin_Keratinocytes	[388, 389, 390, 495]	['DS18695', 'DS18714', 'DS18718', 'DS18692']
Mesendoderm	[391, 418]	['DS18732', 'DS19310']
fTestes	[397, 451]	['DS18942', 'DS20170']
GM04504A	[400, 401]	['DS18973', 'DS18975']
fSkin_fibro_back	[407, 408]	['DS19174', 'DS19233']
fMuscle_upper_back	[415]	['DS19283']
fSkin_fibro_scalp	[428, 429]	['DS19444', 'DS19449']
fSkin_fibro_abdomen	[430, 431]	['DS19558', 'DS19561']
fSkin_fibro_upper_back	[435, 436]	['DS19696', 'DS19706']
fSkin_fibro_bicep_R	[437, 438]	['DS19745', 'DS19761']
T_47D	[439, 440]	['DS19790', 'DS19794']
fSkin_fibro_bicep_L	[441, 442]	['DS19857', 'DS19867']
fSkin_fibro_leg_R_quad	[443, 444]	['DS19943', 'DS19948']
fSkin_fibro_leg_L_quad	[449, 450]	['DS20046', 'DS20056']
Psoas_Muscle	[458]	['DS20325']
LHCN_M2	[465, 474]	['DS20485', 'DS20548']
M059J	[466, 467]	['DS20493', 'DS20497']
MSC	[468, 469, 479, 500]	['DS20514', 'DS20518', 'DS20671', 'DS21042']
LHCN_M2_D4	[471, 478]	['DS20534', 'DS20647']
Small_Intestine_Mucosa	[480]	['DS20770']
RPMI_7951	[484, 485]	['DS20904', 'DS20909']
SK-N-DZ+RA (3 days)	[488, 490]	['DS21417', 'DS21405']
SKNDZ	[491, 492]	['DS21399', 'DS21387']
Pancreas	[496]	['DS20753']
Ovary	[497]	['DS20827']
iPS_19_11	[498]	['DS15153']
Heart	[499]	['DS20383']
Stomach_Mucosa	[501]	['DS20260']
fOvary	[510]	['DS17445']
Namalwa + Sendai virus_2h	[532, 534]	['DS22648', 'DS22823']
Namalwa_0	[533]	['DS22816']
MCF10a_ER_SRC_24h_Tam	[535]	['DS22985']
MCF10a_ER_SRC_control	[536]	['DS22991']
RPMI_8226	[537, 657]	['DS22919', 'DS22913C']
NCI_H460	[538, 539]	['DS23107', 'DS23114A']
SJCRH30	[540, 541]	['DS23117', 'DS23123A']
SK_MEL_5	[542, 543]	['DS23131', 'DS23137']
fRetina	[544, 545, 546, 547, 632]	['DS23179', 'DS23286', 'DS23341', 'DS23368A', 'DS23339E']
ELF_1	[548, 549]	['DS23373', 'DS23378']
HT_1080	[550, 551]	['DS23466', 'DS23472']
KBM7	[552, 553]	['DS23530', 'DS23535']
Brain_hippocampus	[554]	['DS23541']
Brain_Cerebellar_Cortex	[555]	['DS23545']
EH	[556, 557]	['DS23553', 'DS23559']
MCF10a_ER_SRC_6h_Tam/Washout 18 h	[558]	['DS22980']
Cerebellar_Cortex	[559]	['DS23661A']
fEye	[561, 588, 591]	['DS23833A', 'DS24728A', 'DS24796A']
EL	[562, 563]	['DS23825A', 'DS23819A']
Brain_Globus_Pallidus	[564]	['DS23951A']
Globus_Pallidus	[565]	['DS23947A']
Caki2	[567, 568]	['DS24211A', 'DS24205A']
SJSA1	[569, 570]	['DS24241A', 'DS24235A']
CD34_T0	[573, 623]	['DS24044A', 'DS26444A']
CD34_T8	[574, 613, 614]	['DS24094A', 'DS25769A', 'DS25762A']
G401	[575, 661]	['DS24154A', 'DS24147C']
ACHN	[577, 634]	['DS24547A', 'DS24471A']
Brain_Putamen	[578]	['DS24571A']
Daoy	[579, 580]	['DS24567A', 'DS24561A']
CD34_T15	[581]	['DS24190A']
MG63	[582, 583]	['DS24640A', 'DS24634A']
H4	[585]	['DS24930A']
fUmbilical_cord	[590, 728]	['DS24722A', 'DS24820A']
A172	[595, 596]	['DS24744A', 'DS24719A']
fTongue	[599, 601, 602]	['DS24835A', 'DS24808A', 'DS24888A']
L1S8	[604, 605]	['DS25067A', 'DS25072A']
HT29	[606, 659, 666, 696]	['DS25119A', 'DS25113C', 'DS34646A', 'DS38587A']
CD34_T17	[607, 609]	['DS24228A', 'DS24222A']
CD34_T4	[608, 612]	['DS24074A', 'DS25687A']
PC3	[610, 656]	['DS25129C', 'DS25027C']
AL	[611, 624]	['DS24015C', 'DS26410A']
CD34_T6	[615, 616]	['DS25729A', 'DS25730A']
CD34_T18	[617]	['DS25969A']
PGP1_fibroblast	[618, 620]	['DS26113A', 'DS26347A']
PGP1_iPSC	[619, 625]	['DS26351A', 'DS26455A']
ELR	[621, 622]	['DS26318A', 'DS26313A']
bipolar_neuron	[626, 627]	['DS26986A', 'DS26980A']
PC9	[628, 629]	['DS27166A', 'DS27163A']
MM_1S	[630]	['DS27522A']
NCI_H226	[635, 649]	['DS21935A', 'DS21975C']
